EQUIPE,JOGADOR,POSICAO,ID,Q,TEMPO,MOMENTO,DURACAO,FUNDAMENTO
Atlético-GO,João Victor,Zagueiro,46579954,30,4,2659,3,passe
Atlético-MG,Sávio,Atacante,46579935,25,4,2643,3,drible
Atlético-GO,Edson,Volante,46579927,28,4,2639,3,passe
Atlético-GO,Matheus Vargas,Meia,46579567,23,4,2486,3,lancamento
Atlético-GO,Edson,Volante,46579561,15,4,2481,3,passe
Atlético-GO,Jean,Goleiro,46579493,9,4,2451,3,passe
Atlético-MG,Igor Rabello,Zagueiro,46579283,9,4,2348,3,defesa
Atlético-GO,Matheus Vargas,Meia,46579277,27,4,2344,3,passe
Atlético-GO,Chico,Meia,46579237,23,4,2322,3,passe
Atlético-GO,Jean,Goleiro,46579173,3,4,2300,3,passe
Atlético-GO,Gilvan,Zagueiro,46579014,14,4,2242,3,passe
Atlético-GO,Everton Felipe,Meia,46578828,20,4,2157,3,passe
Atlético-GO,Edson,Volante,46578821,16,4,2152,3,passe
Atlético-GO,Éder Ferreira,Zagueiro,46578804,11,4,2144,3,passe
Atlético-GO,Matheuzinho,Meia,46578561,36,4,2023,3,passe
Atlético-GO,Jean,Goleiro,46578370,3,4,1883,3,passe
Atlético-MG,Savarino,Meia,46578333,23,4,1863,3,passe
Atlético-GO,João Victor,Zagueiro,46578280,12,4,1825,3,passe
Atlético-GO,Jean,Goleiro,46578186,10,4,1761,3,passe
Atlético-GO,Éder Ferreira,Zagueiro,46578165,11,4,1749,3,passe
Atlético-GO,Jean,Goleiro,46578011,3,4,1651,3,lancamento
Atlético-MG,Nathan,Meia,46577736,23,4,1506,3,faltaRecebida
Atlético-GO,Éder Ferreira,Zagueiro,46577421,33,4,1381,3,faltaCometida
Atlético-GO,Gilvan,Zagueiro,46577134,8,4,1280,3,passe
Atlético-GO,Janderson,Atacante,46576715,30,4,1132,3,passe
Atlético-GO,Nicolas,Lateral esquerdo,46576603,31,4,1097,3,passe
Atlético-GO,Edson,Volante,46576568,11,4,1067,3,passe
Atlético-MG,Everson,Goleiro,46576509,3,4,1037,3,defesa
Atlético-MG,Keno,Atacante,46576454,32,4,1016,3,passe
Atlético-MG,Jair,Volante,46576436,21,4,1010,3,passe
Atlético-GO,Jean,Goleiro,46576218,3,4,934,3,passe
Atlético-GO,Renato Kayzer,Atacante,46575749,17,4,758,3,faltaRecebida
Atlético-MG,Réver,Zagueiro,46575724,20,4,746,3,faltaCometida
Atlético-MG,Jair,Volante,46575590,24,4,701,3,passe
Atlético-MG,Savarino,Meia,46575560,30,4,692,3,passe
Atlético-GO,Janderson,Atacante,46575167,28,4,556,3,passe
Atlético-GO,Edson,Volante,46575130,9,4,542,3,passe
Atlético-MG,Savarino,Meia,46574560,11,4,321,3,perdaPosseDeBola
Atlético-MG,Savarino,Meia,46574272,29,4,186,3,passe
Atlético-MG,Réver,Zagueiro,46574057,16,4,110,3,passe
Atlético-MG,Réver,Zagueiro,46573971,15,4,69,3,lancamento
Atlético-MG,Guilherme Arana,Lateral esquerdo,46573921,19,4,56,3,passe
Atlético-MG,Réver,Zagueiro,46573808,15,4,14,3,rebatida
Atlético-MG,Eduardo Sasha,Atacante,46571597,22,2,3060,2,perdaPosseDeBola
